0,1,50
0,2,2
0,3,22
0,4,50
0,5,26
0,6,86
0,7,46
0,8,24
0,9,59
1,0,53
1,2,96
1,3,54
1,4,19
1,5,57
1,6,77
1,7,16
1,8,28
1,9,31
2,0,12
2,1,18
2,3,44
2,4,36
2,5,9
2,6,50
2,7,36
2,8,92
2,9,27
3,0,12
3,1,89
3,2,69
3,4,55
3,5,66
3,6,79
3,7,63
3,8,28
3,9,66
4,0,20
4,1,42
4,2,65
4,3,43
4,5,64
4,6,99
4,7,100
4,8,81
4,9,4
5,0,41
5,1,94
5,2,56
5,3,75
5,4,10
5,6,82
5,7,47
5,8,31
5,9,69
6,0,45
6,1,38
6,2,32
6,3,66
6,4,24
6,5,80
6,7,59
6,8,70
6,9,83
7,0,1
7,1,72
7,2,96
7,3,59
7,4,70
7,5,16
7,6,25
7,8,96
7,9,72
8,0,95
8,1,83
8,2,80
8,3,14
8,4,87
8,5,4
8,6,20
8,7,8
8,9,26
9,0,2
9,1,45
9,2,81
9,3,62
9,4,8
9,5,43
9,6,55
9,7,9
9,8,70
